Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Video,Chrome 105.0.0.0,,,2023-07-31 19:42:16,2023-07-31 19:42:16,0.000s,PASSED
,,,,,,,
Test Cases/ALTAFORMULARIO/login,Chrome 105.0.0.0,,,2023-07-31 19:42:16,2023-07-31 19:42:43,27.344s,PASSED
"openBrowser(""https://demoqa.com/login"")",Chrome 105.0.0.0,,,2023-07-31 19:42:16,2023-07-31 19:42:35,18.812s,PASSED
UtilidadesNavegador.zoomOut(3),Chrome 105.0.0.0,,,2023-07-31 19:42:35,2023-07-31 19:42:39,4.146s,PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2023-07-31 19:42:39,2023-07-31 19:42:39,0.154s,PASSED
"scrollToElement(findTestObject(""ALTAFORMULARIO/login/input_UserName_userName""), 0)",Chrome 105.0.0.0,,,2023-07-31 19:42:39,2023-07-31 19:42:40,0.493s,PASSED
"setText(findTestObject(""ALTAFORMULARIO/login/input_UserName_userName""), ""jsantosmtz"")",Chrome 105.0.0.0,,,2023-07-31 19:42:40,2023-07-31 19:42:41,0.786s,PASSED
"setEncryptedText(findTestObject(""ALTAFORMULARIO/login/input_Password_password""), ""KwoNkYu7QNR8qWM+Gg8WL05fv8P8mr+8"")",Chrome 105.0.0.0,,,2023-07-31 19:42:41,2023-07-31 19:42:41,0.483s,PASSED
"click(findTestObject(""ALTAFORMULARIO/login/button_Login""))",Chrome 105.0.0.0,,,2023-07-31 19:42:41,2023-07-31 19:42:41,0.400s,PASSED
Video,Chrome 105.0.0.0,,,2023-07-31 19:42:43,2023-07-31 19:42:43,0.000s,PASSED
